frames_decoded,requested,returned,exact,offset_sum,offset_max,frozen_clips,clips,dataset,class_name,path
1000,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/10__walking_down_street_outside_angry.mp4
845,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/20__outside_talking_still_laughing.mp4
892,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/12__exit_phone_room.mp4
1486,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/27__talking_angry_couch.mp4
1350,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/13__walking_down_indoor_hall_disgust.mp4
1326,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/14__podium_speech_happy.mp4
159,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/14__hugging_happy.mp4
804,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/19__kitchen_pan.mp4
990,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/02__talking_against_wall.mp4
728,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/27__walking_down_street_outside_angry.mp4
1065,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/18__secret_conversation.mp4
911,32,32,32,0,0,0,4,DFD,real,DFD_original sequences/22__podium_speech_happy.mp4
1304,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/15_03__talking_angry_couch__DNUJD8M2.mp4
426,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/27_07__walking_down_street_outside_angry__3RH5PR6S.mp4
404,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/14_02__walking_and_outside_surprised__3IUBEKCT.mp4
777,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/12_07__outside_talking_still_laughing__0VN0A2T3.mp4
339,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/13_03__walking_outside_cafe_disgusted__GBYWJW06.mp4
985,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/02_15__meeting_serious__TSRK8QS4.mp4
858,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/15_06__outside_talking_still_laughing__QRCD27P8.mp4
813,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/03_13__hugging_happy__GBYWJW06.mp4
1433,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/26_12__talking_angry_couch__OVOQACG8.mp4
233,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/06_25__exit_phone_room__MI9BDQ7M.mp4
649,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/15_02__hugging_happy__HTG660F8.mp4
